full_name,latitude,longitude,iso_3166-2
"Smiltene Municipality, Raunas pagasts, Rauna",57.33173,25.60947,LV-094
"Valmiera, Strenči",57.62574,25.68535,LV-113
"Jēkabpils Municipality, Aknīste",56.16152,25.74783,LV-042
"Jēkabpils Municipality, Salas pagasts, Sala",56.50675,25.76423,LV-042
"Cēsis Municipality, Vecpiebalgas pagasts, Vecpiebalga",57.0609,25.81624,LV-022
"Smiltene Municipality, Smiltene",57.42444,25.90164,LV-094
"Valmiera, Seda",57.65042,25.75089,LV-113
"Jēkabpils Municipality, Jēkabpils",56.49903,25.85735,LV-042
"Jēkabpils Municipality, Krustpils",56.51068,25.86117,LV-042
"Madona Municipality, Liezēres pagasts, Liezēre",57.01823,26.06395,LV-059
Valka,57.7752,26.01013,LV-101
"Augšdaugava Municipality, Ilūkste",55.97754,26.29655,LV-111
Līvāni,56.35431,26.17579,LV-056
"Madona Municipality, Madona",56.85329,26.21698,LV-059
"Madona Municipality, Cesvaine",56.96754,26.30764,LV-059
"Alūksne Municipality, Dārzciems",57.48253,26.44238,LV-094
Daugavpils,55.88333,26.53333,LV-DGV
"Preiļu novads, Preiļi",56.29444,26.72459,LV-073
"Varakļāni Municipality, Varakļāni",56.60826,26.75377,LV-102
"Madona Municipality, Lubāna",56.90425,26.71606,LV-059
"Gulbene Municipality, Gulbene",57.17767,26.75291,LV-033
"Preiļu novads, Riebiņu pagasts, Riebiņi",56.3428,26.79995,LV-073
"Smiltene Municipality, Ape",57.53928,26.69291,LV-094
"Preiļu novads, Jaunaglona",56.16066,27.00714,LV-073
"Rēzekne Municipality, Viļāni",56.55253,26.92449,LV-077
"Alūksne Municipality, Alūksne",57.42162,27.04662,LV-007
"Krāslava Municipality, Krāslava",55.89514,27.16799,LV-047
"Balvi Municipality, Balvi",57.1313,27.26583,LV-015
Rēzekne,56.51028,27.34,LV-REZ
"Krāslava Municipality, Dagda",56.09512,27.53723,LV-047
"Ludza Municipality, Kārsava",56.78405,27.68829,LV-058
"Ludza Municipality, Ludza",56.53958,27.71891,LV-058
"Balvi Municipality, Viļaka",57.18458,27.6722,LV-015
"Ludza Municipality, Zilupe",56.38616,28.12165,LV-058
